company,ticker,cusip,shares,market_value_usd,weight_pct
TESLA INC,TSLA,88160R101,"2,855,797","2,433,795,877.31",9.45
ROKU INC,ROKU,77543R102,"3,898,313","1,714,828,905.57",6.66
TELADOC HEALTH INC,TDOC,87918A105,"4,709,015","1,342,210,545.45",5.21
SQUARE INC - A,SQ,852234103,"4,992,810","1,200,171,667.80",4.66
CRISPR THERAPEUTICS AG,CRSP,H17182108,"6,023,237","1,016,782,637.97",3.95
INVITAE CORP,NVTA,46185L103,"17,320,497","860,828,700.90",3.34
ZILLOW GROUP INC - C,Z,98954M200,"4,918,412","771,059,449.24",2.99
BAIDU INC - SPON ADR,BIDU,056752108,"2,846,039","768,800,515.07",2.98
SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"2,458,800","764,121,276.00",2.97
PROTO LABS INC,PRLB,743713109,"3,085,242","668,140,007.52",2.59
SHOPIFY INC - CLASS A,SHOP,82509L107,"469,483","604,576,733.25",2.35
TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,"6,179,254","589,500,831.60",2.29
PURE STORAGE INC - CLASS A,PSTG,74624M102,"21,842,288","590,833,890.40",2.29
ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"1,330,053","558,076,938.27",2.17
TWILIO INC - A,TWLO,90138F102,"1,388,189","555,358,891.34",2.16
PAYPAL HOLDINGS INC,PYPL,70450Y103,"2,055,350","553,793,504.00",2.15
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,"10,470,449","519,857,792.85",2.02
EXACT SCIENCES CORP,EXAS,30063P105,"3,530,241","510,437,546.19",1.98
DOCUSIGN INC,DOCU,256163106,"1,973,874","494,198,833.38",1.92
TWIST BIOSCIENCE CORP,TWST,90184D100,"3,025,619","478,108,314.38",1.86
INTELLIA THERAPEUTICS INC,NTLA,45826J105,"6,406,440","443,389,712.40",1.72
TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"3,411,142","435,875,724.76",1.69
EDITAS MEDICINE INC,EDIT,28106W103,"6,603,791","423,038,851.46",1.64
MATERIALISE NV-ADR,MTLS,57667T100,"5,960,033","423,162,343.00",1.64
LENDINGTREE INC,TREE UW,52603B107,"1,214,680","416,197,955.20",1.62
PAGERDUTY INC,PD,69553P100,"7,493,663","412,076,528.37",1.6
2U INC,TWOU,90214J101,"7,992,456","369,491,240.88",1.43
STRATASYS LTD,SSYS,M85548101,"6,994,760","361,768,987.20",1.4
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"3,149,212","359,608,518.28",1.4
KE HOLDINGS INC,BEKE,482497104,"5,644,016","353,428,281.92",1.37
VERACYTE INC,VCYT,92337F107,"4,803,673","350,860,275.92",1.36
UNITY SOFTWARE INC,U,91332U101,"2,658,665","342,010,665.60",1.33
SEA LTD-ADR,SE,81141R100,"1,308,741","336,032,339.16",1.3
NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,"4,192,930","315,350,265.30",1.22
IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"5,732,142","309,191,739.48",1.2
10X GENOMICS INC-CLASS A,TXG,88025U109,"1,498,561","278,043,007.94",1.08
PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"7,200,552","260,803,993.44",1.01
PACCAR INC,PCAR,693718108,"2,682,808","259,105,596.64",1.01
SYNOPSYS INC,SNPS,871607107,"895,602","244,427,697.84",0.95
REGENERON PHARMACEUTICALS,REGN,75886F107,"473,526","236,280,003.48",0.92
NOVARTIS AG-SPONSORED ADR,NVS,66987V109,"2,460,276","222,728,786.28",0.86
SERES THERAPEUTICS INC,MCRB,81750R102,"7,975,253","215,650,841.12",0.84
HUYA INC-ADR,HUYA,44852D108,"6,825,861","182,728,298.97",0.71
CERUS CORP,CERS,157085101,"18,914,439","142,614,870.06",0.55
SNAP INC - A,SNAP,83304A106,"2,187,585","139,217,909.40",0.54
SPLUNK INC,SPLK,848637104,"790,321","134,544,247.04",0.52
TERADYNE INC,TER,880770102,"1,032,551","130,225,332.12",0.51
NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,"1,725,620","129,645,830.60",0.5
COMPUGEN LTD,CGEN,M25722105,"9,951,336","129,068,827.92",0.5
PINTEREST INC- CLASS A,PINS,72352L106,"1,526,884","125,143,412.64",0.49
FATE THERAPEUTICS INC,FATE,31189P102,"888,296","93,439,856.24",0.36
MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,"81,379,967","81,379,967.24",0.32
SYROS PHARMACEUTICALS INC,SYRS,87184Q107,"5,017,023","61,960,234.05",0.24
BEAM THERAPEUTICS INC,BEAM,07373V105,"330,700","38,414,112.00",0.15
ORGANOVO HOLDINGS INC,ONVO,68620A203,"448,589","6,697,433.77",0.03
